t_hour,day,hour,temp_C,rh_pct,soil_pct,co2_ppm
61,3,13,24.22,78.79,51.06,639.2
62,3,14,23.47,85.39,51.05,632.2
63,3,15,23.03,90.65,50.51,684.2
64,3,16,22.77,90.8,49.87,682.6
65,3,17,22.71,93.21,50.76,704.8
66,3,18,22.28,91.58,,707.9
67,3,19,22.12,90.89,51.1,754.5
68,3,20,22.95,96.7,51.89,746.9
69,3,21,23.4,94.58,53.22,776.0
70,3,22,23.54,87.86,49.71,757.5
71,3,23,24.03,85.18,45.2,755.6
72,4,0,24.79,77.54,44.36,706.7
73,4,1,26.32,70.81,49.32,674.4
74,4,2,27.5,65.17,50.48,666.2
75,4,3,28.78,62.08,47.94,651.2
76,4,4,29.22,63.86,47.72,631.2
77,4,5,29.75,64.96,48.3,597.0
78,4,6,30.23,66.58,44.86,578.3
79,4,7,29.9,64.1,47.51,602.4
80,4,8,29.73,64.65,47.1,636.6
81,4,9,28.72,68.65,47.16,626.1
82,4,10,27.75,70.49,47.71,622.2
83,4,11,26.65,74.04,50.67,622.6
84,4,12,25.11,80.03,49.7,672.9
85,4,13,24.51,83.41,47.04,676.3
86,4,14,23.42,88.32,48.73,725.4
87,4,15,22.73,96.66,45.49,760.7
88,4,16,22.44,98.37,45.96,761.4
89,4,17,22.3,100.0,49.18,810.5
90,4,18,22.49,100.0,50.65,770.5
91,4,19,22.5,99.52,52.64,807.0
92,4,20,22.64,94.7,53.32,796.1
93,4,21,23.24,90.22,57.24,718.1
94,4,22,23.23,85.2,54.51,734.9
95,4,23,23.65,82.21,53.82,725.9
96,5,0,24.32,80.99,51.36,676.7
97,5,1,,81.39,51.84,617.0
98,5,2,26.78,78.7,50.2,548.5
99,5,3,27.43,,52.33,589.7
100,5,4,28.19,65.6,49.87,
101,5,5,29.52,65.14,51.7,499.7
102,5,6,,65.42,51.95,507.1
103,5,7,29.93,67.1,51.18,473.2
104,5,8,29.09,75.4,51.93,469.4
105,5,9,28.46,81.18,52.31,524.5
106,5,10,27.27,85.92,53.11,566.7
107,5,11,26.32,85.74,52.92,589.2
108,5,12,25.89,87.63,51.94,624.9
109,5,13,24.05,91.02,51.89,648.5
110,5,14,23.53,92.17,49.19,680.5
111,5,15,22.96,96.94,51.77,690.6
112,5,16,22.11,100.0,49.84,701.6
113,5,17,21.12,98.45,49.96,706.1
114,5,18,21.27,100.0,51.59,700.9
115,5,19,21.33,100.0,53.17,733.2
116,5,20,22.05,95.54,49.1,745.4
117,5,21,22.85,93.45,48.53,704.3
118,5,22,24.59,91.61,48.87,654.1
119,5,23,25.37,91.19,48.14,629.7
120,6,0,25.86,86.19,49.9,660.3
121,6,1,27.07,84.83,47.06,602.1
122,6,2,28.19,81.52,42.02,571.8
123,6,3,29.71,74.18,43.24,552.0
124,6,4,30.64,67.78,41.76,532.4
125,6,5,31.04,70.36,38.16,511.2
126,6,6,31.73,73.66,38.35,539.7
127,6,7,30.71,74.92,41.56,553.9
128,6,8,29.88,80.6,39.74,584.4
129,6,9,28.76,85.35,45.58,612.7
130,6,10,27.81,89.42,44.74,653.1
131,6,11,26.25,89.11,46.07,712.6
132,6,12,25.75,97.47,44.82,763.2
133,6,13,24.72,100.0,46.32,835.8
134,6,14,23.13,100.0,47.35,872.4
135,6,15,22.03,100.0,45.54,856.6
136,6,16,21.84,100.0,52.43,879.1
137,6,17,22.07,100.0,51.82,890.6
138,6,18,23.01,100.0,51.05,924.5
139,6,19,24.47,100.0,53.03,
140,6,20,24.68,100.0,56.23,860.0
141,6,21,24.46,96.31,57.46,808.5
142,6,22,24.03,92.62,53.66,786.1
143,6,23,25.19,87.01,52.85,741.0
144,7,0,25.85,83.17,47.77,713.6
145,7,1,26.78,85.48,48.66,638.4
146,7,2,27.56,85.81,44.35,627.0
147,7,3,28.48,83.08,42.19,602.5
148,7,4,29.79,79.9,41.95,582.4
149,7,5,30.28,80.31,42.81,614.4
150,7,6,30.33,82.34,42.4,589.5
151,7,7,29.68,79.22,45.85,594.0
152,7,8,28.56,79.77,47.64,600.3
153,7,9,27.94,76.1,,617.1
154,7,10,27.34,82.72,47.45,690.5
155,7,11,27.47,92.25,51.79,706.9
156,7,12,26.49,95.39,50.87,711.4
157,7,13,25.93,92.01,55.22,781.0
158,7,14,24.6,97.44,59.74,788.1
159,7,15,23.14,97.6,60.76,762.1
160,7,16,22.11,98.13,62.6,759.5
161,7,17,21.51,100.0,55.86,740.5
162,7,18,22.65,100.0,55.35,704.4
163,7,19,22.33,100.0,57.22,702.1
164,7,20,23.19,97.97,58.28,698.9
165,7,21,23.33,96.35,54.67,718.7
166,7,22,24.67,92.31,53.02,713.0
167,7,23,25.78,85.78,46.83,699.3
168,8,0,26.66,81.67,46.99,644.3
169,8,1,27.63,79.61,42.45,637.3
170,8,2,28.23,76.04,44.35,641.5
171,8,3,29.33,69.27,46.21,619.9
172,8,4,29.72,70.88,44.68,604.3
173,8,5,29.55,61.71,45.47,553.2
174,8,6,29.19,61.33,44.93,573.7
175,8,7,29.39,61.44,45.62,617.0
176,8,8,29.97,64.89,43.75,625.8
177,8,9,29.4,70.24,45.88,619.3
178,8,10,28.49,77.65,43.52,633.2
179,8,11,27.66,79.54,41.25,646.4
180,8,12,27.24,85.8,42.78,665.6
181,8,13,26.16,90.61,,711.8
182,8,14,24.84,89.32,46.27,744.4
183,8,15,24.49,98.95,46.35,790.4
184,8,16,23.9,97.05,51.38,811.7
185,8,17,24.09,100.0,52.29,794.8
186,8,18,23.75,100.0,53.03,783.3
187,8,19,23.01,100.0,53.37,764.5
188,8,20,22.65,99.92,55.01,749.4
189,8,21,24.18,100.0,55.36,777.2
190,8,22,25.76,92.35,55.14,796.2
191,8,23,26.38,89.01,55.32,776.6
192,9,0,27.04,83.87,50.2,735.6
193,9,1,28.69,78.55,45.56,659.0
194,9,2,28.87,76.99,44.77,631.0
195,9,3,29.17,77.64,43.86,581.6
196,9,4,30.16,74.3,44.71,602.3
197,9,5,30.32,75.33,44.52,543.1
198,9,6,30.46,74.86,45.71,548.7
199,9,7,30.24,72.57,43.37,529.5
200,9,8,30.03,73.52,44.02,543.4
201,9,9,30.09,75.29,42.22,581.0
202,9,10,29.15,76.67,44.32,630.5
203,9,11,28.37,82.15,41.89,653.3
204,9,12,26.14,87.08,44.33,699.7
205,9,13,25.15,86.42,42.99,708.2
206,9,14,23.83,85.85,43.99,740.6
207,9,15,22.52,91.51,47.41,787.4
208,9,16,21.68,92.41,49.04,808.4
209,9,17,21.38,95.96,46.59,800.5
210,9,18,21.95,99.72,46.11,793.9
211,9,19,21.54,95.91,43.76,813.1
212,9,20,22.17,91.08,40.98,768.2
213,9,21,22.74,95.03,41.83,724.9
214,9,22,23.59,93.53,43.22,718.1
215,9,23,25.24,89.01,44.02,678.4
216,10,0,26.59,82.79,44.89,612.9
217,10,1,28.27,78.13,44.35,622.7
218,10,2,29.01,71.78,43.3,567.2
219,10,3,29.39,72.49,40.8,
220,10,4,29.9,68.49,39.92,512.7
221,10,5,30.44,71.17,37.54,499.8
222,10,6,30.65,69.86,36.57,480.2
223,10,7,29.94,67.74,37.83,511.1
224,10,8,29.67,68.78,38.83,530.8
225,10,9,29.21,64.16,46.37,578.3
226,10,10,29.66,68.61,44.58,587.4
227,10,11,29.4,73.26,45.64,
228,10,12,27.57,81.04,44.16,648.6
229,10,13,26.17,80.22,45.0,641.8
230,10,14,24.34,88.84,45.88,721.9
231,10,15,23.25,95.33,49.01,758.3
232,10,16,22.85,100.0,49.12,783.9
233,10,17,23.09,100.0,49.57,803.7
234,10,18,22.5,100.0,49.27,817.9
235,10,19,22.31,100.0,46.81,815.6
236,10,20,21.7,100.0,45.8,773.5
237,10,21,22.52,97.71,45.17,773.4
238,10,22,23.05,89.87,45.25,760.7
239,10,23,24.04,83.67,46.07,761.4
240,11,0,24.92,80.9,45.05,763.8
241,11,1,26.22,75.5,44.0,725.4
242,11,2,26.57,74.16,40.08,651.3
243,11,3,27.05,66.49,41.12,663.0
244,11,4,29.2,59.14,39.68,605.2
245,11,5,29.11,63.77,,594.2
246,11,6,28.95,67.24,44.41,576.1
247,11,7,30.04,65.39,44.31,564.0
248,11,8,31.15,67.95,42.83,592.0
249,11,9,29.69,74.34,43.79,611.7
250,11,10,28.6,79.17,45.64,643.8
251,11,11,27.78,83.48,46.19,645.7
252,11,12,27.56,90.82,46.36,669.7
253,11,13,25.82,92.26,48.86,680.0
254,11,14,24.65,96.01,51.02,705.5
255,11,15,24.18,99.09,51.23,729.4
256,11,16,23.65,100.0,48.69,796.7
257,11,17,22.94,100.0,50.46,797.1
258,11,18,22.67,100.0,49.37,744.7
259,11,19,22.08,100.0,50.1,780.6
260,11,20,22.46,97.38,50.35,779.0
261,11,21,23.07,97.9,46.21,754.2
262,11,22,24.13,92.02,46.18,716.8
263,11,23,24.89,88.23,46.79,664.4
264,12,0,26.26,83.97,47.42,685.6
265,12,1,27.85,,46.84,651.7
266,12,2,28.82,72.08,42.09,575.6
267,12,3,29.75,72.71,44.36,562.4
268,12,4,30.32,68.91,44.79,575.1
269,12,5,30.64,71.85,42.11,563.8
270,12,6,30.35,70.15,40.75,533.9
271,12,7,30.39,70.9,41.83,513.8
272,12,8,29.93,78.49,43.97,507.1
273,12,9,30.33,79.66,43.83,571.2
274,12,10,30.08,86.25,46.59,594.5
275,12,11,28.98,89.32,44.05,581.9
276,12,12,27.26,93.85,43.43,629.2
277,12,13,25.5,97.27,40.94,668.0
278,12,14,25.11,100.0,41.05,688.7
279,12,15,24.28,100.0,45.93,692.3
280,12,16,23.75,100.0,51.3,692.2
281,12,17,22.32,100.0,52.31,741.6
282,12,18,22.69,100.0,51.26,756.6
283,12,19,23.0,100.0,50.88,767.4
284,12,20,22.76,100.0,51.64,762.3
285,12,21,23.2,100.0,47.99,751.1
286,12,22,24.23,96.81,46.41,713.1
287,12,23,25.26,90.82,48.79,679.4
288,13,0,26.17,82.73,45.8,678.6
289,13,1,27.2,85.55,43.6,679.5
290,13,2,28.09,82.65,43.11,611.8
291,13,3,29.05,80.7,43.24,579.3
292,13,4,30.46,73.86,41.65,579.9
293,13,5,29.45,72.46,41.79,610.7
294,13,6,29.63,73.56,43.2,640.5
295,13,7,,73.2,47.44,608.9
296,13,8,29.58,77.91,47.34,642.3
297,13,9,28.81,86.82,47.71,649.1
298,13,10,27.18,85.89,51.42,688.2
299,13,11,26.62,85.73,50.83,722.8
300,13,12,26.61,86.72,48.91,707.3
301,13,13,24.75,95.5,50.43,744.2
302,13,14,24.34,100.0,53.48,789.4
303,13,15,23.35,100.0,54.76,802.5
304,13,16,22.72,100.0,54.87,805.8
305,13,17,21.82,100.0,52.1,771.3
306,13,18,21.65,100.0,,792.2
307,13,19,22.58,100.0,54.53,790.5
308,13,20,23.25,100.0,51.45,752.3
309,13,21,24.67,100.0,50.38,725.8
310,13,22,25.86,97.03,48.87,706.6
311,13,23,26.73,92.4,46.67,664.6
312,14,0,28.35,88.35,46.41,636.5
313,14,1,29.2,86.68,46.46,564.1
314,14,2,30.21,87.55,46.45,577.4
315,14,3,30.51,85.21,43.65,555.2
316,14,4,30.9,84.14,39.91,510.4
317,14,5,30.73,80.79,40.52,442.6
318,14,6,31.24,77.12,39.76,478.2
319,14,7,30.33,78.93,44.01,
320,14,8,30.29,80.11,48.21,526.2
321,14,9,29.45,77.44,52.47,570.0
322,14,10,29.14,79.37,50.7,615.8
323,14,11,28.38,82.68,52.34,645.8
324,14,12,28.04,85.0,54.58,666.6
325,14,13,27.01,93.48,56.47,684.8
326,14,14,24.91,98.14,55.97,723.7
327,14,15,23.91,100.0,58.75,781.5
328,14,16,22.59,100.0,58.58,791.0
329,14,17,21.97,100.0,58.51,834.3
330,14,18,22.68,100.0,54.88,837.3
331,14,19,23.04,100.0,55.72,832.6
332,14,20,22.96,,54.39,870.6
333,14,21,23.05,95.03,54.36,875.2
334,14,22,23.96,90.47,53.61,871.1
335,14,23,24.37,86.22,,797.8
336,15,0,25.23,83.99,51.08,803.8
337,15,1,26.62,81.69,51.26,747.3
338,15,2,28.29,76.33,49.41,693.1
339,15,3,29.4,74.84,45.28,598.5
340,15,4,28.82,71.91,45.71,582.2
341,15,5,29.54,61.87,43.51,537.3
342,15,6,29.81,60.99,40.72,542.5
343,15,7,29.96,,39.06,515.3
344,15,8,30.38,62.9,40.46,574.5
345,15,9,28.57,66.74,41.23,602.6
346,15,10,27.53,75.54,38.1,678.3
347,15,11,26.99,77.13,39.0,667.8
348,15,12,25.2,81.5,43.07,729.7
349,15,13,25.09,81.89,,703.1
350,15,14,24.32,91.22,44.67,733.3
351,15,15,,94.21,48.01,738.1
352,15,16,22.84,96.88,50.41,744.8
353,15,17,22.81,100.0,,744.4
354,15,18,23.1,100.0,47.21,728.1
355,15,19,23.16,100.0,50.9,698.0
356,15,20,23.49,97.23,51.74,684.2
357,15,21,24.09,96.37,55.86,677.6
358,15,22,24.33,91.23,52.83,689.5
359,15,23,25.17,81.34,47.91,670.1
360,16,0,26.11,78.12,46.86,668.8
361,16,1,27.33,70.53,45.23,597.0
362,16,2,28.75,72.94,45.59,559.4
363,16,3,28.92,70.8,46.79,555.8
364,16,4,29.49,,45.65,545.6
365,16,5,30.63,63.03,44.49,511.0
366,16,6,30.26,57.62,45.19,532.5
367,16,7,29.67,56.18,44.51,521.7
368,16,8,29.42,62.31,44.01,514.8
369,16,9,29.22,72.4,46.58,549.5
370,16,10,28.33,77.77,49.6,575.5
371,16,11,27.97,80.91,52.17,592.1
372,16,12,27.18,83.35,52.14,611.9
373,16,13,26.33,84.38,48.28,620.5
374,16,14,25.37,94.53,48.81,647.1
375,16,15,25.44,96.63,48.02,707.4
376,16,16,24.24,100.0,48.45,735.1
377,16,17,22.5,100.0,47.58,772.3
378,16,18,23.09,100.0,47.87,786.7
379,16,19,22.78,100.0,45.83,763.1
380,16,20,23.1,96.49,43.23,
381,16,21,24.27,93.8,45.62,671.5
382,16,22,24.07,90.48,43.12,637.6
383,16,23,24.39,95.83,42.58,598.9
384,17,0,24.73,87.61,43.84,602.9
385,17,1,25.61,83.83,44.78,601.3
386,17,2,27.07,81.45,45.35,628.4
387,17,3,28.33,77.57,44.92,576.7
388,17,4,29.19,74.83,45.47,593.8
389,17,5,28.92,69.55,47.44,612.4
390,17,6,,69.15,47.53,588.7
391,17,7,28.33,70.97,43.34,593.7
392,17,8,27.98,73.06,42.46,625.6
393,17,9,27.85,76.68,44.38,629.1
394,17,10,27.55,83.4,43.72,638.7
395,17,11,26.72,88.76,47.84,642.4
396,17,12,26.1,91.56,48.34,608.6
397,17,13,25.14,90.76,49.18,645.3
398,17,14,24.37,91.97,52.04,659.5
399,17,15,23.09,94.08,51.96,
400,17,16,22.35,97.0,52.49,700.6
401,17,17,22.06,96.77,54.24,681.8
402,17,18,22.31,94.38,50.84,716.1
403,17,19,22.16,90.55,49.89,729.6
404,17,20,22.78,84.73,50.98,710.5
405,17,21,23.2,82.78,50.15,693.7
406,17,22,23.92,76.35,51.95,642.6
407,17,23,25.28,71.2,47.25,639.8
408,18,0,25.21,67.79,42.63,616.8
409,18,1,25.72,61.48,43.28,594.5
410,18,2,26.16,60.86,44.02,578.9
411,18,3,26.15,61.47,42.6,536.7
412,18,4,26.93,58.48,42.61,481.0
413,18,5,28.17,56.78,43.48,499.8
414,18,6,28.45,59.0,41.36,515.0
415,18,7,28.67,58.15,39.92,504.9
416,18,8,29.01,58.24,40.69,528.4
417,18,9,29.07,65.31,43.09,578.5
418,18,10,28.11,71.6,,626.6
419,18,11,27.74,77.16,41.94,632.7
420,18,12,26.56,83.71,,621.2
421,18,13,,81.23,,620.4
422,18,14,23.62,89.23,45.44,647.3
423,18,15,22.07,93.29,45.16,714.7
424,18,16,21.15,98.37,48.39,715.2
425,18,17,20.78,100.0,47.54,714.6
426,18,18,21.25,100.0,47.04,707.5
427,18,19,22.33,98.27,43.72,696.0
428,18,20,21.94,97.36,42.22,690.6
429,18,21,22.82,93.46,43.04,645.4
430,18,22,23.13,92.54,43.12,657.4
431,18,23,24.43,83.48,43.53,629.0
432,19,0,25.44,77.93,43.63,664.0
433,19,1,25.6,80.34,46.69,597.7
434,19,2,27.24,74.23,43.73,607.9
435,19,3,27.84,70.08,39.35,611.3
436,19,4,28.33,64.84,36.66,571.1
437,19,5,,64.48,35.09,541.5
438,19,6,28.37,61.74,33.36,509.3
439,19,7,28.69,61.93,34.19,489.7
440,19,8,28.35,66.25,37.53,504.3
441,19,9,28.02,66.46,41.38,526.0
442,19,10,27.45,72.1,43.02,512.5
443,19,11,27.16,78.05,47.99,606.2
444,19,12,25.84,84.66,47.63,628.5
445,19,13,24.01,88.2,44.85,660.1
446,19,14,23.68,100.0,47.74,672.2
447,19,15,22.66,100.0,44.52,691.7
448,19,16,22.59,,43.67,703.9
449,19,17,22.27,100.0,45.28,718.9
450,19,18,21.95,100.0,45.25,725.2
451,19,19,22.17,100.0,44.79,743.4
452,19,20,23.44,100.0,42.11,735.9
453,19,21,24.83,100.0,41.75,732.5
454,19,22,25.26,,43.2,703.1
455,19,23,25.95,94.53,42.31,676.3
456,20,0,27.22,,39.64,635.2
457,20,1,27.48,81.34,36.29,626.7
458,20,2,28.41,72.31,34.11,599.8
459,20,3,29.04,69.61,34.59,564.7
460,20,4,29.68,68.42,35.03,536.1
461,20,5,29.51,69.11,33.3,517.9
462,20,6,28.8,69.3,29.14,512.0
463,20,7,27.76,70.52,30.92,512.4
464,20,8,,68.08,30.15,508.6
465,20,9,26.59,69.64,32.9,547.3
466,20,10,25.94,67.79,32.74,590.4
467,20,11,26.24,65.56,32.35,658.7
468,20,12,25.79,72.52,34.43,
469,20,13,,74.61,40.82,703.9
470,20,14,23.43,81.53,43.38,676.4
471,20,15,22.39,,44.41,721.6
472,20,16,21.64,88.59,45.67,700.9
473,20,17,21.38,91.93,42.4,690.8
474,20,18,21.58,90.29,40.49,709.0
475,20,19,21.5,84.33,35.73,693.0
476,20,20,22.42,83.93,39.65,667.4
477,20,21,22.38,80.73,42.48,643.6
478,20,22,23.23,76.98,42.5,645.0
479,20,23,25.51,80.04,41.78,596.8
480,21,0,26.41,71.52,37.59,571.3
481,21,1,27.94,69.27,36.37,
482,21,2,28.63,62.95,39.26,534.9
483,21,3,29.48,63.16,38.57,533.7
484,21,4,29.81,61.86,36.66,467.6
485,21,5,29.91,61.55,32.73,
486,21,6,29.5,58.11,35.68,469.2
487,21,7,29.53,56.56,35.69,482.3
488,21,8,28.62,61.32,32.6,472.6
489,21,9,28.34,69.1,31.75,505.9
490,21,10,28.0,73.07,30.53,597.3
491,21,11,27.07,73.31,31.94,622.1
492,21,12,25.73,77.91,34.05,635.0
493,21,13,24.82,88.69,34.62,656.3
494,21,14,23.57,91.39,37.73,645.9
495,21,15,23.14,97.76,39.08,710.3
496,21,16,21.43,96.4,42.15,734.5
497,21,17,20.93,96.7,41.9,716.8
498,21,18,19.87,98.12,48.24,696.4
499,21,19,19.52,97.74,46.47,697.3
500,21,20,20.96,92.85,43.92,712.4
501,21,21,22.19,87.35,41.09,664.2
502,21,22,22.69,86.88,39.92,671.2
503,21,23,23.0,86.19,35.62,639.1
504,22,0,22.77,85.84,35.61,584.4
505,22,1,24.01,85.93,31.09,544.8
506,22,2,26.62,80.79,31.12,564.0
507,22,3,27.77,74.99,,501.5
508,22,4,28.16,75.23,27.53,466.9
509,22,5,28.88,74.11,29.11,483.7
510,22,6,28.25,68.84,34.15,485.7
511,22,7,28.14,64.99,32.17,469.7
512,22,8,27.95,67.23,32.52,508.5
513,22,9,27.39,68.25,31.96,551.5
514,22,10,27.07,70.6,31.41,579.6
515,22,11,26.28,76.84,31.44,587.7
516,22,12,25.54,82.08,34.71,604.9
517,22,13,24.07,88.86,35.13,642.7
518,22,14,23.54,85.24,41.0,637.4
519,22,15,23.43,88.52,42.58,699.1
520,22,16,22.07,92.38,41.04,758.7
521,22,17,21.13,,40.75,756.8
522,22,18,21.67,86.88,39.4,763.8
523,22,19,21.58,,41.13,782.9
524,22,20,22.6,82.87,37.52,809.8
525,22,21,22.8,85.68,34.58,813.9
526,22,22,24.24,88.33,33.18,726.3
527,22,23,25.02,81.25,34.24,679.5
528,23,0,25.97,78.33,36.13,653.6
529,23,1,27.59,75.39,38.01,602.1
530,23,2,28.06,72.08,37.97,612.6
531,23,3,28.21,69.27,36.74,617.4
532,23,4,28.54,66.86,37.49,562.4
533,23,5,29.14,69.47,34.46,536.2
534,23,6,28.43,70.82,30.55,505.3
535,23,7,28.72,66.47,31.85,500.4
536,23,8,28.07,69.25,30.4,503.9
537,23,9,28.08,73.05,31.26,545.3
538,23,10,25.99,75.66,32.65,543.0
539,23,11,24.82,81.28,34.37,505.6
540,23,12,23.17,84.09,37.46,505.6
541,23,13,22.07,87.06,40.13,524.6
542,23,14,21.59,89.63,41.29,552.6
543,23,15,20.94,85.38,41.01,597.6
544,23,16,20.41,87.11,41.75,602.2
545,23,17,20.13,86.25,40.82,598.5
546,23,18,20.28,83.13,40.57,596.3
547,23,19,20.03,87.28,45.7,
548,23,20,20.98,87.08,45.17,575.6
549,23,21,22.04,84.23,44.94,560.1
550,23,22,23.06,79.11,42.17,570.4
551,23,23,24.26,76.29,42.9,529.3
552,24,0,25.36,75.19,42.87,503.7
553,24,1,27.31,68.29,,472.6
554,24,2,27.95,64.48,41.5,477.4
555,24,3,28.4,63.82,42.04,457.1
556,24,4,28.52,55.16,43.12,472.0
557,24,5,28.36,53.78,42.27,433.8
558,24,6,27.94,52.24,40.94,434.9
559,24,7,27.54,52.73,42.01,430.3
560,24,8,27.33,53.1,39.65,418.6
561,24,9,27.05,56.4,38.17,446.5
562,24,10,26.37,65.67,38.43,523.8
563,24,11,25.11,67.96,35.49,532.6
564,24,12,24.67,72.51,38.15,564.7
565,24,13,24.03,82.09,37.06,567.0
566,24,14,22.93,83.07,37.09,567.8
567,24,15,21.75,,37.6,585.4
568,24,16,21.43,92.1,38.44,606.8
569,24,17,21.1,97.84,38.26,621.9
570,24,18,20.2,98.98,38.42,633.0
571,24,19,20.42,97.68,38.32,599.3
572,24,20,21.04,94.37,37.17,587.7
573,24,21,21.28,88.71,35.21,597.1
574,24,22,22.33,84.82,36.89,549.9
575,24,23,22.65,82.96,31.81,527.1
576,25,0,24.57,77.89,30.86,517.4
577,25,1,26.26,72.05,29.38,477.6
578,25,2,27.0,66.9,29.78,469.2
579,25,3,27.96,66.17,26.43,415.3
580,25,4,27.31,66.57,25.43,431.7
581,25,5,27.31,,25.5,436.8
582,25,6,,,28.12,439.5
583,25,7,27.11,59.61,29.27,476.0
584,25,8,27.36,65.1,27.54,479.2
585,25,9,27.89,69.84,27.65,483.6
586,25,10,26.4,67.83,30.74,545.6
587,25,11,25.07,69.89,29.57,617.9
588,25,12,24.29,70.41,,622.4
589,25,13,24.14,73.31,32.39,645.3
590,25,14,22.47,81.68,32.98,696.3
591,25,15,21.8,79.88,39.63,711.8
592,25,16,22.09,77.35,39.28,739.8
593,25,17,20.69,76.89,40.52,763.9
594,25,18,19.93,79.02,38.98,744.7
595,25,19,20.01,80.93,39.92,745.3
596,25,20,20.3,81.01,41.17,726.7
597,25,21,21.52,82.22,39.1,671.7
598,25,22,22.53,73.46,38.04,622.0
599,25,23,22.63,73.72,35.19,580.3
600,26,0,,68.74,31.95,577.9
601,26,1,24.97,67.01,33.3,572.0
602,26,2,26.72,59.13,31.29,559.2
603,26,3,27.21,56.24,25.8,540.2
604,26,4,27.58,54.75,29.32,525.5
605,26,5,28.35,56.78,27.53,513.8
606,26,6,28.9,51.16,27.25,
607,26,7,28.93,52.01,31.03,521.9
608,26,8,27.6,50.45,31.14,490.8
609,26,9,27.33,,,488.5
610,26,10,26.01,60.67,29.89,489.3
611,26,11,25.28,68.14,27.87,551.2
612,26,12,23.61,69.94,29.15,623.8
613,26,13,22.99,76.38,31.47,594.7
614,26,14,21.74,83.54,33.47,665.8
615,26,15,20.44,80.74,33.65,689.5
616,26,16,20.43,84.7,34.71,730.7
617,26,17,20.29,88.62,31.77,748.9
618,26,18,19.93,87.6,33.5,781.5
619,26,19,20.93,,34.19,771.0
620,26,20,21.06,84.15,38.16,714.1
621,26,21,21.73,77.76,37.52,688.3
622,26,22,22.69,74.19,34.79,673.3
623,26,23,23.33,70.58,33.9,634.4
624,27,0,24.64,68.96,32.37,616.7
625,27,1,25.39,63.05,32.41,578.9
626,27,2,26.19,57.46,31.6,530.9
627,27,3,27.78,54.97,28.33,477.7
628,27,4,27.82,55.85,24.75,451.8
629,27,5,27.05,61.06,25.49,448.9
630,27,6,28.27,55.07,28.62,398.4
631,27,7,29.46,56.22,29.09,392.5
632,27,8,28.65,54.07,31.25,380.0
633,27,9,26.92,59.56,,386.1
634,27,10,26.03,59.53,35.0,
635,27,11,25.02,61.17,34.06,466.5
636,27,12,24.01,63.57,35.4,527.7
637,27,13,22.52,67.68,38.74,638.1
638,27,14,22.04,72.7,40.42,699.5
639,27,15,21.58,77.51,42.32,719.0
640,27,16,20.22,79.93,41.51,751.6
641,27,17,20.34,77.49,41.12,719.4
