day,capture_hour,temp_mean,temp_min,temp_max,temp_range,hours_temp_in_band,rh_mean,rh_max,rh_min,rh_std,hours_rh_above_85,rh_trend,soil_mean,co2_mean,risk
14,18,26.484,21.54,31.24,9.7,101,86.307,100.0,59.14,11.674,67,0.093,46.619,669.785,High
15,8,26.453,21.65,31.24,9.59,102,86.333,100.0,59.14,11.893,66,0.018,47.417,679.377,High
15,18,26.41,21.65,31.24,9.59,101,86.449,100.0,59.14,11.715,66,0.013,47.225,679.789,Medium
16,8,26.528,21.65,31.24,9.59,101,86.384,100.0,56.18,11.928,66,-0.094,47.654,669.759,High
16,18,26.546,21.65,31.24,9.59,101,86.166,100.0,56.18,11.915,64,-0.059,47.722,666.177,High
17,8,26.413,21.65,31.24,9.59,104,86.285,100.0,56.18,11.77,65,-0.098,47.65,665.303,Low
17,18,26.304,21.65,31.24,9.59,106,85.934,100.0,56.18,11.532,64,-0.044,47.946,665.056,High
18,8,26.197,21.65,31.24,9.59,108,83.863,100.0,56.18,13.052,59,-0.144,47.842,656.231,High
18,18,26.186,20.78,31.24,10.46,106,83.172,100.0,56.18,13.011,54,-0.089,47.402,648.589,High
19,8,25.892,20.78,30.63,9.85,112,81.879,100.0,56.18,13.443,49,-0.085,46.688,647.201,High
19,18,25.784,20.78,30.63,9.85,112,81.493,100.0,56.18,13.483,47,-0.02,45.794,641.221,High
20,8,25.783,20.78,30.63,9.85,112,81.639,100.0,56.18,13.561,47,-0.042,44.463,630.736,Medium
20,18,25.684,20.78,30.63,9.85,112,80.935,100.0,56.18,13.447,45,-0.033,44.027,626.972,Medium
21,8,25.632,20.78,29.91,9.13,114,80.018,100.0,56.56,13.377,41,-0.117,42.828,623.54,Medium
21,18,25.486,19.87,29.91,10.04,112,79.781,100.0,56.56,13.321,42,-0.05,41.823,622.865,Medium
22,8,25.371,19.52,29.91,10.39,111,79.473,100.0,56.56,13.182,43,-0.023,40.76,616.623,Medium
22,18,25.325,19.52,29.91,10.39,111,78.724,100.0,56.56,12.905,40,0.037,39.677,616.995,Medium
23,8,25.387,19.52,29.91,10.39,111,79.662,100.0,56.56,12.023,41,-0.053,38.5,622.415,Medium
23,18,25.231,19.52,29.91,10.39,109,79.422,100.0,56.56,11.509,41,-0.011,38.056,613.804,Medium
24,8,25.225,19.52,29.91,10.39,108,78.246,100.0,52.24,12.099,39,-0.085,38.289,601.17,Medium
24,18,25.132,19.52,29.91,10.39,107,77.607,100.0,52.24,11.939,37,-0.038,37.66,594.31,Medium
25,8,24.904,19.52,29.91,10.39,106,77.252,98.98,52.24,11.75,36,-0.025,36.934,580.51,Medium
25,18,24.861,19.52,29.91,10.39,105,76.96,98.98,52.24,11.486,33,-0.033,36.585,580.44,Medium
26,8,24.668,19.52,29.14,9.62,102,76.397,98.98,50.45,12.137,33,-0.148,36.027,582.893,Low
26,18,24.542,19.52,29.14,9.62,100,75.646,98.98,50.45,11.643,29,-0.099,35.592,581.566,Low
27,8,24.576,19.93,29.46,9.53,101,73.699,98.98,50.45,12.023,22,-0.125,35.135,579.562,Low
27,18,24.473,19.93,29.46,9.53,99,72.704,98.98,50.45,11.777,17,-0.101,35.264,576.024,Low
28,8,24.389,19.93,29.46,9.53,99,71.23,98.98,48.0,12.489,15,-0.137,35.081,566.854,Low
28,18,24.398,18.58,29.46,10.88,99,70.237,98.98,48.0,12.101,10,-0.079,35.045,573.149,Low
29,8,24.293,18.58,29.46,10.88,98,70.087,98.98,48.0,12.193,11,-0.114,34.028,585.679,Low
29,18,24.368,18.58,29.46,10.88,96,69.834,97.68,48.0,11.739,10,-0.051,33.805,588.492,Low
30,8,24.312,18.58,29.46,10.88,97,67.765,88.62,40.35,12.023,7,-0.068,34.314,594.95,Low
30,18,24.275,18.58,29.46,10.88,96,66.603,88.62,40.35,12.274,7,-0.062,34.155,592.904,Low
31,8,24.174,18.58,29.46,10.88,95,66.229,88.62,40.35,12.109,7,-0.101,34.367,588.163,Low
31,18,24.25,18.58,29.46,10.88,98,65.529,86.89,40.35,11.551,5,-0.043,34.903,587.848,Low
32,8,24.225,18.58,29.36,10.78,97,65.529,86.89,40.35,11.245,5,-0.057,34.944,590.389,Low
32,18,24.373,18.58,29.36,10.78,99,66.031,93.4,40.35,11.75,7,0.005,34.006,593.42,Low
33,8,24.455,18.58,30.32,11.74,97,66.697,93.4,40.35,11.745,8,-0.004,33.794,592.714,Low
33,18,24.554,19.34,30.32,10.98,101,67.071,93.4,40.35,12.061,10,0.057,33.665,589.72,Low
34,8,24.625,19.43,30.32,10.89,104,67.321,93.4,40.35,11.655,8,0.066,33.946,589.638,Low
34,18,24.581,19.43,30.32,10.89,105,67.737,93.4,40.35,11.778,9,0.155,33.95,591.181,Low
35,8,24.679,19.43,30.32,10.89,105,69.526,93.4,44.38,11.045,12,0.126,33.847,591.952,Low
35,18,24.668,19.43,30.32,10.89,105,70.683,93.4,49.12,10.59,12,0.106,34.166,589.361,Low
36,8,24.963,19.43,31.52,12.09,102,71.272,93.4,48.83,10.453,12,0.026,33.889,594.988,Low
36,18,25.067,19.43,31.52,12.09,101,71.39,93.4,48.83,10.563,12,0.007,33.896,598.043,Low
37,8,25.084,19.95,31.52,11.57,103,71.975,93.4,48.83,10.494,12,-0.048,35.565,598.462,Low
37,18,24.953,19.95,31.52,11.57,102,72.096,93.49,48.83,10.526,13,-0.009,37.196,597.328,Low
38,8,24.787,19.95,31.52,11.57,102,72.996,93.49,48.83,9.984,13,-0.01,38.516,597.377,Low
38,18,24.788,19.95,31.52,11.57,102,73.715,96.6,48.83,10.366,16,0.05,39.17,600.148,Low
39,8,24.932,19.95,31.52,11.57,99,74.521,96.97,48.83,10.504,19,0.029,39.897,596.745,Medium
39,18,25.019,19.95,31.52,11.57,100,75.183,97.81,48.83,11.148,24,0.111,40.608,600.95,Medium
40,8,25.307,19.95,31.52,11.57,96,75.497,97.81,48.83,11.1,25,0.108,41.385,603.652,Medium
40,18,25.366,19.95,31.52,11.57,97,76.405,100.0,48.83,11.555,30,0.144,41.889,607.595,Medium
41,8,25.354,20.18,31.27,11.09,104,77.881,100.0,52.79,10.882,34,0.101,42.759,605.864,Medium
41,18,25.309,20.18,31.27,11.09,106,79.856,100.0,58.27,11.268,42,0.122,43.305,607.595,Medium
42,8,25.48,20.18,31.27,11.09,103,81.386,100.0,61.42,10.842,46,0.072,43.437,619.57,Medium
42,18,25.756,20.18,31.27,11.09,101,82.722,100.0,61.42,11.042,50,0.098,43.609,627.711,Medium
43,8,26.001,20.18,31.27,11.09,103,83.67,100.0,61.42,11.036,54,0.061,44.275,631.361,High
43,18,26.047,20.18,31.27,11.09,102,84.051,100.0,61.42,11.093,56,0.089,44.922,636.076,High
44,8,26.107,20.18,31.15,10.97,101,84.557,100.0,62.88,11.079,58,0.01,45.979,646.434,High
44,18,26.142,20.18,31.15,10.97,101,84.601,100.0,62.88,11.468,57,0.046,46.933,642.747,High
45,8,26.153,20.18,31.35,11.17,101,86.275,100.0,62.88,10.94,64,0.02,48.145,649.598,High
45,18,26.285,20.54,31.35,10.81,103,87.003,100.0,62.88,11.062,67,0.046,48.704,649.542,High
46,8,26.389,20.54,31.35,10.81,100,88.465,100.0,62.88,10.608,74,0.03,49.595,653.704,High
46,18,26.473,20.54,31.35,10.81,100,88.856,100.0,62.88,10.685,75,0.091,50.254,652.865,High
47,8,26.659,20.54,31.82,11.28,98,90.026,100.0,62.88,10.171,83,0.077,50.728,655.978,High
47,18,26.561,20.54,31.82,11.28,101,90.413,100.0,62.88,10.189,85,0.123,51.21,648.593,High
48,8,26.564,20.54,31.82,11.28,97,90.671,100.0,62.88,10.372,88,0.058,50.785,654.708,High
48,18,26.606,21.04,31.82,10.78,98,90.243,100.0,62.88,10.468,85,0.031,50.142,652.136,High
49,8,26.669,21.1,31.82,10.72,99,90.397,100.0,66.53,9.829,83,-0.082,48.993,644.785,High
49,18,26.598,21.1,31.82,10.72,100,90.721,100.0,67.18,9.596,83,-0.08,48.617,644.299,High
50,8,26.439,21.1,31.82,10.72,104,90.384,100.0,67.18,10.24,79,-0.106,48.823,643.886,High
50,18,26.472,21.25,31.82,10.57,104,89.799,100.0,67.18,10.181,77,-0.103,48.834,644.512,High
51,8,26.453,21.25,31.82,10.57,105,88.159,100.0,62.1,11.169,71,-0.143,48.493,645.201,High
51,18,26.344,19.31,31.82,12.51,102,87.067,100.0,62.1,11.099,68,-0.107,48.071,645.859,High
52,8,26.149,19.31,31.5,12.19,102,85.321,100.0,62.1,11.483,61,-0.111,47.998,637.797,Medium
52,18,26.15,19.31,31.5,12.19,101,84.839,100.0,62.1,11.174,59,-0.031,47.176,641.869,Medium
53,8,26.159,19.31,31.5,12.19,103,84.441,100.0,62.1,11.027,57,-0.027,47.135,641.406,Medium
53,18,26.197,19.31,31.5,12.19,103,84.761,100.0,62.1,11.287,59,-0.007,47.674,644.703,Medium
54,8,26.213,19.31,30.98,11.67,102,84.417,100.0,62.1,11.562,58,-0.07,47.587,652.962,Medium
54,18,26.221,19.31,30.98,11.67,102,83.327,100.0,62.1,11.481,55,-0.048,47.091,656.885,Medium
55,8,26.176,19.31,30.98,11.67,103,82.402,100.0,62.1,11.137,54,-0.046,46.238,653.169,High
55,18,25.981,19.31,30.98,11.67,103,82.736,100.0,62.1,11.456,55,0.008,45.958,655.728,Medium
56,8,25.866,19.31,30.98,11.67,105,82.982,100.0,62.96,11.228,54,-0.024,46.182,659.581,Low
56,18,25.914,20.71,30.98,10.27,108,83.042,100.0,62.96,11.027,54,-0.007,45.959,655.649,High
57,8,25.977,21.06,30.98,9.92,111,83.092,100.0,59.37,11.529,55,-0.057,45.111,653.944,Medium
57,18,25.905,20.85,30.98,10.13,111,82.308,100.0,59.37,11.361,52,-0.023,45.198,654.097,Medium
58,8,25.832,20.85,30.98,10.13,113,81.425,100.0,59.31,11.635,50,-0.05,45.024,646.996,Medium
58,18,25.729,20.62,30.98,10.36,111,80.154,100.0,59.31,11.529,44,-0.047,44.554,639.789,Medium
59,8,25.516,20.62,30.1,9.48,113,79.399,100.0,59.06,11.786,43,-0.109,45.12,627.263,Medium
59,18,25.474,20.62,30.1,9.48,113,79.286,100.0,59.06,11.495,42,-0.111,45.188,621.183,Medium
60,8,25.622,20.62,30.37,9.75,112,78.836,100.0,59.06,11.786,40,-0.137,44.895,611.294,Medium
60,18,25.714,20.22,30.37,10.15,110,78.079,100.0,59.06,11.243,37,-0.068,45.136,606.219,Medium
61,8,25.545,20.19,30.43,10.24,103,77.009,97.26,59.06,11.313,35,-0.08,44.65,602.493,Low
61,18,25.536,20.19,30.43,10.24,103,76.796,97.26,59.06,11.183,34,-0.021,44.471,602.246,Low
62,8,25.374,20.19,30.43,10.24,105,75.103,96.07,50.13,11.284,28,-0.066,44.275,603.023,Low
62,18,25.285,20.19,30.43,10.24,105,75.112,97.77,50.13,11.407,28,-0.006,44.097,598.883,Low
63,8,25.162,20.19,30.43,10.24,105,74.129,97.77,45.63,12.102,26,-0.042,43.258,597.691,Low
63,18,25.089,20.19,30.43,10.24,105,73.874,97.77,45.63,12.339,27,-0.059,43.014,596.723,Low
64,8,25.025,20.02,30.43,10.41,105,73.747,97.77,45.63,12.13,25,-0.094,42.123,601.437,Low
64,18,24.906,19.97,30.43,10.46,102,73.717,97.77,45.63,12.372,25,-0.055,41.225,599.294,Low
65,8,24.713,19.97,30.43,10.46,102,72.118,97.77,45.63,13.454,23,-0.11,39.631,604.794,Low
65,18,24.573,19.0,30.43,11.43,100,71.285,97.77,45.63,13.305,21,-0.068,38.118,606.214,Low
66,8,24.506,19.0,29.0,10.0,104,71.344,97.77,45.63,13.457,23,-0.057,36.997,597.125,Low
66,18,24.312,19.0,29.0,10.0,100,70.957,97.77,45.63,13.17,18,0.019,36.323,593.254,Low
67,8,24.13,19.0,29.0,10.0,98,71.005,97.77,45.63,13.133,18,-0.051,35.09,583.408,Low
67,18,24.1,19.0,29.0,10.0,98,70.258,93.68,45.63,12.569,14,0.009,33.837,577.273,Low
68,8,24.127,19.0,29.47,10.47,96,69.362,93.68,42.33,12.612,12,-0.061,33.101,572.653,High
68,18,24.168,19.0,29.47,10.47,96,69.395,93.68,42.33,12.487,12,-0.053,32.554,574.008,Low
69,8,24.197,19.0,29.47,10.47,98,69.183,93.68,42.33,12.442,12,-0.053,31.381,575.26,Low
69,18,24.189,19.0,29.47,10.47,98,69.909,98.84,42.33,13.009,15,0.055,30.661,579.136,Low
70,8,24.169,19.0,29.47,10.47,98,71.407,98.84,42.33,12.321,17,0.023,30.929,573.727,Low
70,18,24.237,19.05,29.47,10.42,99,71.997,98.84,42.33,12.512,19,0.056,31.061,572.014,High
71,8,24.293,19.05,29.47,10.42,100,70.703,98.84,42.33,12.825,15,0.003,31.579,575.529,Low
71,18,24.328,19.65,29.47,9.82,101,69.894,98.84,42.33,12.727,15,0.027,31.704,579.445,Low
72,8,24.417,19.75,29.47,9.72,100,71.381,98.84,42.33,13.057,21,0.036,32.002,588.873,Low
72,18,24.4,19.75,29.47,9.72,98,71.133,98.84,42.33,13.158,23,0.042,32.191,593.699,Low
73,8,24.35,19.75,29.42,9.67,99,72.814,98.84,51.71,12.466,27,-0.017,32.53,593.706,Low
73,18,24.312,19.75,29.42,9.67,99,73.181,98.84,52.45,12.51,29,-0.02,32.409,595.556,Low
74,8,24.362,19.75,30.84,11.09,96,72.673,98.84,52.45,13.186,30,-0.098,33.203,585.808,Low
74,18,24.415,19.75,30.84,11.09,98,71.631,97.38,52.45,12.621,25,-0.028,33.806,585.592,Low
75,8,24.493,19.75,30.84,11.09,99,70.666,95.18,48.38,12.955,23,-0.04,33.698,593.232,Low
75,18,24.528,19.75,30.84,11.09,101,70.861,98.5,48.38,13.104,23,0.038,34.073,594.186,Low
76,8,24.588,19.77,30.84,11.07,101,72.522,98.5,48.38,12.727,26,0.004,33.892,595.452,Low
76,18,24.665,19.77,30.84,11.07,104,73.37,98.5,48.38,13.039,30,0.01,33.813,596.575,Low
77,8,24.855,19.77,30.84,11.07,106,73.147,98.5,48.38,12.846,28,0.051,34.419,592.046,Low
77,18,25.009,20.15,30.84,10.69,109,73.801,98.5,48.38,13.003,29,0.06,35.657,597.374,Low
78,8,25.049,20.15,30.84,10.69,109,73.304,98.5,48.38,13.091,28,0.038,36.515,612.325,High
78,18,25.176,20.15,30.84,10.69,111,74.018,98.5,48.38,13.339,31,0.083,37.087,620.403,Medium
79,8,25.248,20.15,30.64,10.49,113,75.364,98.5,48.38,12.7,33,0.03,37.219,630.337,Medium
79,18,25.35,20.15,30.64,10.49,114,76.088,99.78,48.38,12.799,35,0.052,38.38,629.724,Medium
80,8,25.306,20.15,30.64,10.49,114,77.64,100.0,53.82,11.874,37,0.002,40.583,625.418,Medium
80,18,25.349,20.36,30.64,10.28,114,78.337,100.0,53.82,12.217,39,0.068,42.02,625.242,Medium
81,8,25.39,20.33,30.64,10.31,114,78.538,100.0,53.82,12.213,39,0.048,43.954,633.62,Medium
81,18,25.451,20.33,30.64,10.31,114,79.339,100.0,53.82,12.312,40,0.085,45.516,643.673,Medium
82,8,25.312,20.33,30.64,10.31,115,80.469,100.0,53.82,12.148,43,0.095,47.856,648.03,High
82,18,25.265,20.33,30.64,10.31,115,81.559,100.0,53.82,12.288,48,0.13,48.632,645.54,Medium
83,8,25.414,20.33,30.96,10.63,113,84.004,100.0,61.04,11.408,55,0.101,49.831,650.686,Medium
83,18,25.447,20.33,30.96,10.63,113,84.868,100.0,61.04,11.566,57,0.133,50.687,650.496,High
84,8,25.517,20.33,31.41,11.08,109,85.541,100.0,61.04,10.951,58,0.057,52.633,652.424,High
84,18,25.595,20.33,31.41,11.08,109,86.504,100.0,61.04,10.922,63,0.077,52.68,659.039,High
85,8,25.846,20.33,31.41,11.08,104,87.021,100.0,61.04,10.506,64,0.018,52.527,671.042,High
85,18,25.847,20.33,31.41,11.08,105,86.89,100.0,61.04,10.181,64,0.034,51.901,675.915,High
86,8,26.066,21.29,31.41,10.12,102,87.827,100.0,61.74,9.747,69,-0.034,51.124,674.575,High
86,18,26.168,21.29,31.41,10.12,101,88.022,100.0,61.74,9.707,72,-0.025,50.211,665.797,High
87,8,26.32,21.42,31.41,9.99,98,88.206,100.0,61.74,9.796,71,-0.046,48.811,662.269,High
87,18,26.306,21.21,31.41,10.2,98,88.097,100.0,61.74,9.667,71,-0.019,48.825,670.688,High
88,8,26.372,21.21,31.41,10.2,96,86.913,100.0,61.74,10.246,66,-0.043,48.805,665.643,High
88,18,26.395,21.21,31.41,10.2,95,85.995,100.0,61.74,10.301,63,-0.028,48.924,664.011,High
89,8,26.433,21.21,31.18,9.97,95,86.373,100.0,61.74,10.553,66,-0.066,48.137,665.485,High
89,18,26.469,21.21,31.18,9.97,95,85.686,100.0,61.74,10.283,65,-0.033,47.775,670.086,High
90,8,26.51,21.21,32.13,10.92,94,84.95,100.0,60.21,10.946,64,-0.087,48.077,661.837,High
90,18,26.565,21.21,32.13,10.92,94,85.426,100.0,60.21,11.327,66,-0.037,48.238,663.899,High
91,8,26.568,21.21,32.45,11.24,93,85.719,100.0,60.21,11.094,65,-0.022,48.172,665.75,High
91,18,26.469,21.21,32.45,11.24,94,86.306,100.0,60.21,11.218,67,0.042,48.226,669.511,High
92,8,26.473,21.21,32.45,11.24,94,85.444,100.0,60.21,11.933,66,0.01,48.107,670.804,High
92,18,26.483,21.23,32.45,11.22,94,84.964,100.0,60.21,11.883,63,0.031,47.212,663.053,High
93,8,26.473,21.23,32.45,11.22,94,83.546,100.0,54.59,13.1,61,-0.081,46.535,655.142,High
93,18,26.36,21.14,32.45,11.31,95,83.76,100.0,54.59,13.202,62,-0.078,46.038,651.953,High
94,8,26.23,21.14,32.45,11.31,99,83.477,100.0,54.59,13.453,61,-0.082,45.35,638.939,High
94,18,26.068,21.01,32.45,11.44,99,83.577,100.0,54.59,13.739,59,-0.057,45.34,628.662,High
95,8,25.836,21.01,32.45,11.44,104,84.858,100.0,54.59,13.296,63,-0.068,44.135,633.629,High
95,18,25.733,21.01,32.45,11.44,103,84.527,100.0,54.59,13.066,61,-0.008,44.041,627.15,High
96,8,25.576,20.27,31.77,11.5,104,83.371,100.0,54.59,13.165,57,-0.019,44.201,618.367,Medium
96,18,25.653,20.27,31.77,11.5,103,81.907,100.0,54.59,12.68,51,0.031,44.602,614.988,Medium
97,8,25.582,20.27,31.77,11.5,103,81.467,100.0,54.59,12.241,49,-0.012,44.463,613.362,Medium
97,18,25.713,20.27,31.77,11.5,102,80.897,100.0,54.59,12.103,45,-0.009,43.813,614.151,Medium
98,8,25.545,20.27,31.08,10.81,107,80.811,100.0,52.47,12.09,42,-0.16,42.694,615.435,Medium
98,18,25.596,20.27,31.08,10.81,106,80.534,100.0,52.47,11.877,40,-0.138,42.103,621.086,Medium
99,8,25.572,20.27,31.08,10.81,106,80.216,100.0,52.47,11.438,38,-0.129,41.928,632.786,Low
99,18,25.66,20.27,31.08,10.81,106,79.735,100.0,52.47,11.084,38,-0.093,41.74,635.992,Low
100,8,25.564,20.27,31.08,10.81,107,78.03,100.0,52.47,10.805,32,-0.063,41.444,631.824,Low
100,18,25.48,19.72,31.08,11.36,105,76.798,95.19,52.47,10.082,26,-0.024,40.412,628.758,Low
101,8,25.289,19.48,30.29,10.81,107,75.632,95.19,52.47,10.432,23,-0.059,38.35,624.905,Low
101,18,25.049,19.48,30.29,10.81,105,74.622,95.19,52.47,10.327,19,-0.07,36.713,620.72,Low
102,8,24.945,19.21,29.99,10.78,105,72.726,95.19,47.36,11.438,16,-0.14,35.606,616.65,Low
102,18,24.754,19.21,29.99,10.78,105,72.565,95.19,47.36,11.96,20,-0.097,35.79,614.247,Low
103,8,24.755,19.21,29.99,10.78,104,71.957,95.19,45.92,12.43,20,-0.19,35.732,616.618,Low
103,18,24.501,18.68,29.99,11.31,100,71.35,95.19,45.92,12.209,19,-0.133,35.274,610.708,Low
104,8,24.341,18.68,29.83,11.15,98,70.224,93.02,45.92,12.172,19,-0.084,34.439,603.248,Low
104,18,24.234,18.68,29.83,11.15,97,69.613,91.45,45.92,11.863,16,-0.019,33.798,601.444,Low
105,8,24.306,18.68,29.83,11.15,97,68.526,91.45,45.92,12.162,15,-0.013,32.892,601.628,Low
105,18,24.466,18.68,29.83,11.15,100,67.781,91.45,45.92,12.251,15,0.007,33.169,600.572,Low
106,8,24.594,18.68,29.83,11.15,101,66.705,91.45,45.92,12.623,15,-0.039,33.866,603.42,Low
106,18,24.709,18.68,29.83,11.15,102,67.811,96.95,45.92,13.691,20,0.024,34.467,606.42,Low
107,8,24.725,18.68,29.47,10.79,104,68.589,96.95,45.92,13.421,21,-0.037,34.035,615.322,Low
107,18,24.701,18.68,29.47,10.79,105,67.886,96.95,45.92,12.777,16,-0.005,33.171,615.552,Low
108,8,24.765,18.68,29.99,11.31,106,68.277,96.95,46.77,12.48,16,-0.058,32.093,611.508,Low
108,18,24.974,19.88,29.99,10.11,111,67.337,96.95,46.74,12.463,13,-0.052,31.701,612.091,Low
109,8,25.147,20.11,29.99,9.88,114,66.097,96.95,46.74,12.346,9,-0.072,31.834,613.938,Low
109,18,25.133,19.48,29.99,10.51,113,65.76,96.95,46.74,11.966,7,-0.022,32.071,617.738,Low
110,8,25.015,19.48,29.99,10.51,111,64.901,96.95,44.74,12.058,6,-0.069,31.828,620.542,Low
110,18,24.944,19.48,29.99,10.51,110,65.474,96.95,44.74,12.592,9,-0.031,31.273,625.456,Low
111,8,24.979,19.48,29.99,10.51,112,66.543,96.95,44.74,12.39,9,-0.062,31.368,620.736,Medium
111,18,24.978,19.48,29.99,10.51,112,65.958,91.67,44.74,11.529,6,0.032,31.548,618.808,Low
112,8,24.938,19.48,29.99,10.51,111,66.491,91.67,44.74,11.421,5,0.06,32.622,613.557,Low
112,18,25.06,19.48,29.99,10.51,111,67.272,91.67,44.74,11.801,7,0.109,33.711,612.831,Low
113,8,24.922,19.48,29.81,10.33,111,67.05,91.67,44.43,12.009,7,0.075,35.244,615.278,Low
113,18,24.95,19.48,29.81,10.33,111,67.537,91.67,44.43,11.668,7,0.062,36.414,617.007,Low
114,8,24.903,19.48,29.81,10.33,110,68.018,91.67,44.43,11.064,7,-0.008,37.471,619.344,Low
114,18,24.925,20.28,29.81,9.53,111,68.819,98.2,44.43,12.034,11,0.048,38.418,616.871,Low
115,8,25.058,20.22,30.13,9.91,111,71.183,98.2,44.43,11.653,18,0.022,40.417,617.067,Medium
115,18,25.122,20.22,30.13,9.91,112,72.234,100.0,44.43,12.214,21,0.086,41.115,625.138,Medium
116,8,25.152,20.22,30.13,9.91,112,73.584,100.0,44.43,12.911,27,0.091,41.539,635.676,Medium
116,18,25.286,20.22,30.13,9.91,114,74.279,100.0,44.43,13.233,30,0.127,41.694,634.581,Medium
117,8,25.52,20.22,30.51,10.29,112,75.577,100.0,44.43,13.669,36,0.142,42.345,631.66,Medium
117,18,25.58,20.22,30.51,10.29,112,76.176,100.0,44.43,13.923,38,0.185,42.332,635.613,Medium
118,8,25.686,20.22,30.51,10.29,112,78.069,100.0,51.27,12.936,42,0.118,42.638,639.464,Medium
118,18,25.688,20.22,30.51,10.29,111,80.003,100.0,51.27,13.15,50,0.127,42.46,638.115,Medium
119,8,25.926,20.22,31.28,11.06,107,81.999,100.0,56.36,11.994,54,0.033,42.397,642.756,Medium
119,18,26.061,20.22,31.28,11.06,107,82.696,100.0,58.79,11.564,56,0.042,42.262,646.783,Medium
120,8,26.201,21.37,31.28,9.91,106,82.02,100.0,58.79,11.559,49,-0.044,41.931,650.826,Medium
120,18,26.204,20.69,31.28,10.59,104,82.312,100.0,58.79,11.665,49,0.006,42.826,649.501,Medium
121,8,26.23,20.26,31.28,11.02,97,82.273,100.0,60.27,11.48,48,-0.03,43.908,650.14,Medium
121,18,26.175,20.26,31.28,11.02,97,82.72,100.0,60.27,11.688,49,-0.009,44.649,655.347,Medium
122,8,26.096,20.26,31.28,11.02,96,82.597,100.0,60.27,11.691,47,-0.025,45.056,669.303,Medium
122,18,26.163,20.26,31.28,11.02,96,83.058,100.0,60.27,11.926,50,0.011,45.776,668.93,Medium
123,8,26.298,20.26,31.28,11.02,92,83.497,100.0,60.27,11.847,52,-0.014,47.056,666.868,Medium
123,18,26.392,20.26,31.28,11.02,92,83.296,100.0,60.27,11.595,52,0.045,48.165,668.376,Medium
124,8,26.324,20.26,31.25,10.99,93,82.74,100.0,60.27,11.968,52,-0.001,48.857,666.073,High
124,18,26.309,20.26,31.25,10.99,94,82.737,100.0,60.27,12.257,53,0.041,49.289,663.593,High
125,8,26.354,20.26,31.6,11.34,92,84.381,100.0,60.27,11.852,60,-0.009,50.362,664.751,High
125,18,26.499,20.26,31.6,11.34,94,84.611,100.0,60.27,11.623,62,0.046,51.537,659.561,High
126,8,26.686,21.73,31.6,9.87,96,84.873,100.0,63.15,11.165,64,-0.007,52.222,662.075,High
126,18,26.779,22.19,31.6,9.41,96,84.777,100.0,63.15,10.795,64,0.01,52.34,660.051,Low
127,8,26.803,21.93,31.6,9.67,100,85.745,100.0,63.15,10.342,69,0.008,52.945,654.375,High
127,18,26.75,21.93,31.6,9.67,100,86.366,100.0,63.15,10.523,72,0.069,53.263,656.209,High
128,8,26.737,21.93,31.6,9.67,102,86.798,100.0,63.15,10.36,73,0.049,52.383,654.847,High
128,18,26.761,21.93,31.6,9.67,101,86.639,100.0,63.15,10.313,72,0.062,51.865,652.205,High
129,8,26.76,21.93,31.6,9.67,105,87.205,100.0,66.1,9.629,73,-0.026,51.774,650.525,High
129,18,26.683,21.86,31.6,9.74,105,87.104,100.0,66.1,9.107,74,-0.029,51.581,649.254,High
